nohup: ignoring input
Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.040000
11:09:35 train - loss: 1.4412, acc: 0.4697
Epoch 2, lr 0.074377
11:10:47 train - loss: 0.9062, acc: 0.6772
Epoch 3, lr 0.164377
11:12:00 train - loss: 0.7054, acc: 0.7581
Epoch 4, lr 0.275623
11:13:13 train - loss: 0.5906, acc: 0.7959
Epoch 5, lr 0.365623
11:14:25 train - loss: 0.5072, acc: 0.8271
11:14:34 valid - loss: 0.6112, acc: 0.7846
Epoch 6, lr 0.400000
11:15:47 train - loss: 0.4471, acc: 0.8465
Epoch 7, lr 0.399974
11:17:00 train - loss: 0.4111, acc: 0.8591
Epoch 8, lr 0.399896
11:18:12 train - loss: 0.3831, acc: 0.8689
Epoch 9, lr 0.399766
11:19:25 train - loss: 0.3630, acc: 0.8768
Epoch 10, lr 0.399585
11:20:38 train - loss: 0.3486, acc: 0.8808
11:20:44 valid - loss: 0.6342, acc: 0.7828
Epoch 11, lr 0.399351
11:21:56 train - loss: 0.3352, acc: 0.8854
Epoch 12, lr 0.399066
11:23:08 train - loss: 0.3295, acc: 0.8874
Epoch 13, lr 0.398730
11:24:21 train - loss: 0.3228, acc: 0.8900
Epoch 14, lr 0.398341
11:25:33 train - loss: 0.3150, acc: 0.8923
Epoch 15, lr 0.397901
11:26:46 train - loss: 0.3048, acc: 0.8955
11:26:52 valid - loss: 0.9116, acc: 0.7509
Epoch 16, lr 0.397410
11:28:04 train - loss: 0.3053, acc: 0.8953
Epoch 17, lr 0.396868
11:29:17 train - loss: 0.2924, acc: 0.8986
Epoch 18, lr 0.396274
11:30:30 train - loss: 0.2882, acc: 0.9011
Epoch 19, lr 0.395630
11:31:42 train - loss: 0.2830, acc: 0.9033
Epoch 20, lr 0.394934
11:32:54 train - loss: 0.2783, acc: 0.9044
11:33:00 valid - loss: 0.5174, acc: 0.8313
Epoch 21, lr 0.394188
11:34:13 train - loss: 0.2761, acc: 0.9072
Epoch 22, lr 0.393392
11:35:25 train - loss: 0.2724, acc: 0.9054
Epoch 23, lr 0.392546
11:36:38 train - loss: 0.2695, acc: 0.9082
Epoch 24, lr 0.391649
11:37:50 train - loss: 0.2652, acc: 0.9100
Epoch 25, lr 0.390703
11:39:03 train - loss: 0.2625, acc: 0.9099
11:39:08 valid - loss: 0.6600, acc: 0.8027
Epoch 26, lr 0.389707
11:40:21 train - loss: 0.2576, acc: 0.9128
Epoch 27, lr 0.388662
11:41:33 train - loss: 0.2578, acc: 0.9133
Epoch 28, lr 0.387568
11:42:45 train - loss: 0.2585, acc: 0.9106
Epoch 29, lr 0.386426
11:43:58 train - loss: 0.2525, acc: 0.9141
Epoch 30, lr 0.385235
11:45:10 train - loss: 0.2532, acc: 0.9139
11:45:16 valid - loss: 0.6161, acc: 0.8108
Epoch 31, lr 0.383996
11:46:29 train - loss: 0.2467, acc: 0.9155
Epoch 32, lr 0.382709
11:47:41 train - loss: 0.2440, acc: 0.9172
Epoch 33, lr 0.381375
11:48:54 train - loss: 0.2445, acc: 0.9170
Epoch 34, lr 0.379994
11:50:07 train - loss: 0.2409, acc: 0.9169
Epoch 35, lr 0.378566
11:51:19 train - loss: 0.2407, acc: 0.9184
11:51:25 valid - loss: 0.5890, acc: 0.8208
Epoch 36, lr 0.377091
11:52:37 train - loss: 0.2392, acc: 0.9194
Epoch 37, lr 0.375571
11:53:50 train - loss: 0.2312, acc: 0.9212
Epoch 38, lr 0.374005
11:55:02 train - loss: 0.2381, acc: 0.9187
Epoch 39, lr 0.372394
11:56:15 train - loss: 0.2298, acc: 0.9214
Epoch 40, lr 0.370738
11:57:27 train - loss: 0.2349, acc: 0.9195
11:57:32 valid - loss: 0.6540, acc: 0.7967
Epoch 41, lr 0.369038
11:58:45 train - loss: 0.2256, acc: 0.9223
Epoch 42, lr 0.367294
11:59:57 train - loss: 0.2286, acc: 0.9216
Epoch 43, lr 0.365507
12:01:10 train - loss: 0.2218, acc: 0.9246
Epoch 44, lr 0.363676
12:02:22 train - loss: 0.2217, acc: 0.9247
Epoch 45, lr 0.361803
12:03:35 train - loss: 0.2281, acc: 0.9221
12:03:40 valid - loss: 0.6440, acc: 0.8128
Epoch 46, lr 0.359889
12:04:53 train - loss: 0.2234, acc: 0.9231
Epoch 47, lr 0.357932
12:06:05 train - loss: 0.2166, acc: 0.9265
Epoch 48, lr 0.355935
12:07:18 train - loss: 0.2169, acc: 0.9246
Epoch 49, lr 0.353897
12:08:30 train - loss: 0.2137, acc: 0.9275
Epoch 50, lr 0.351819
12:09:42 train - loss: 0.2154, acc: 0.9260
12:09:48 valid - loss: 0.5538, acc: 0.8327
Epoch 51, lr 0.349702
12:11:01 train - loss: 0.2057, acc: 0.9294
Epoch 52, lr 0.347546
12:12:13 train - loss: 0.2124, acc: 0.9271
Epoch 53, lr 0.345352
12:13:25 train - loss: 0.2132, acc: 0.9282
Epoch 54, lr 0.343120
12:14:38 train - loss: 0.2079, acc: 0.9281
Epoch 55, lr 0.340851
12:15:50 train - loss: 0.2131, acc: 0.9271
12:15:55 valid - loss: 0.5970, acc: 0.8275
Epoch 56, lr 0.338545
12:17:07 train - loss: 0.2064, acc: 0.9297
Epoch 57, lr 0.336203
12:18:19 train - loss: 0.2055, acc: 0.9289
Epoch 58, lr 0.333826
12:19:32 train - loss: 0.2043, acc: 0.9298
Epoch 59, lr 0.331414
12:20:44 train - loss: 0.1936, acc: 0.9348
Epoch 60, lr 0.328968
12:21:56 train - loss: 0.2047, acc: 0.9298
12:22:02 valid - loss: 0.7674, acc: 0.7790
Epoch 61, lr 0.326489
12:23:14 train - loss: 0.2004, acc: 0.9306
Epoch 62, lr 0.323977
12:24:26 train - loss: 0.1984, acc: 0.9321
Epoch 63, lr 0.321433
12:25:38 train - loss: 0.1945, acc: 0.9332
Epoch 64, lr 0.318857
12:26:51 train - loss: 0.1906, acc: 0.9343
Epoch 65, lr 0.316250
