Files already downloaded and verified
Files already downloaded and verified
2020-05-17 14:23:29.858575: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcudart.so.10.1
Epoch 1, lr 0.100000
/usr/local/lib/python3.6/dist-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
22:24:17 train - loss: 1.5173, acc: 0.4382
22:24:24 valid - loss: 1.8502, acc: 0.4557
Epoch 2, lr 0.128647
22:25:06 train - loss: 0.9323, acc: 0.6670
22:25:09 valid - loss: 1.1824, acc: 0.6199
Epoch 3, lr 0.203647
22:25:50 train - loss: 0.7028, acc: 0.7525
22:25:53 valid - loss: 1.2862, acc: 0.6355
Epoch 4, lr 0.296353
22:26:34 train - loss: 0.5828, acc: 0.7974
22:26:37 valid - loss: 0.7659, acc: 0.7376
Epoch 5, lr 0.371353
22:27:18 train - loss: 0.5027, acc: 0.8273
22:27:21 valid - loss: 0.7878, acc: 0.7272
Epoch 6, lr 0.400000
22:28:02 train - loss: 0.4397, acc: 0.8475
22:28:05 valid - loss: 0.6402, acc: 0.7789
Epoch 7, lr 0.399974
22:28:46 train - loss: 0.4007, acc: 0.8626
22:28:49 valid - loss: 0.6100, acc: 0.7931
Epoch 8, lr 0.399896
22:29:31 train - loss: 0.3727, acc: 0.8718
22:29:34 valid - loss: 0.6627, acc: 0.7760
Epoch 9, lr 0.399766
22:30:15 train - loss: 0.3554, acc: 0.8769
22:30:18 valid - loss: 0.8336, acc: 0.7248
Epoch 10, lr 0.399585
22:30:59 train - loss: 0.3393, acc: 0.8837
22:31:02 valid - loss: 0.9989, acc: 0.7244
Epoch 11, lr 0.399351
22:31:43 train - loss: 0.3258, acc: 0.8890
22:31:46 valid - loss: 0.7340, acc: 0.7571
Epoch 12, lr 0.399066
22:32:27 train - loss: 0.3204, acc: 0.8904
22:32:30 valid - loss: 0.7663, acc: 0.7552
Epoch 13, lr 0.398730
22:33:11 train - loss: 0.3114, acc: 0.8918
22:33:14 valid - loss: 0.5368, acc: 0.8186
Epoch 14, lr 0.398341
22:33:55 train - loss: 0.3043, acc: 0.8940
22:33:58 valid - loss: 0.9856, acc: 0.7258
Epoch 15, lr 0.397901
22:34:39 train - loss: 0.2971, acc: 0.8971
22:34:42 valid - loss: 0.5836, acc: 0.8141
Epoch 16, lr 0.397410
22:35:23 train - loss: 0.2899, acc: 0.9006
22:35:26 valid - loss: 0.4910, acc: 0.8365
Epoch 17, lr 0.396868
22:36:07 train - loss: 0.2901, acc: 0.8996
22:36:10 valid - loss: 0.6299, acc: 0.7912
Epoch 18, lr 0.396274
22:36:51 train - loss: 0.2772, acc: 0.9055
22:36:54 valid - loss: 1.1458, acc: 0.7042
Epoch 19, lr 0.395630
22:37:35 train - loss: 0.2726, acc: 0.9058
22:37:38 valid - loss: 0.9468, acc: 0.7264
Epoch 20, lr 0.394934
